Experience	Satisfaction on Axapta integration	Axapta integration
3 months - 1 year	4	Not sure
1 -3 years	5	Yes
1 -3 years	3	Not sure
3 months - 1 year	4	Yes
1 -3 years	5	Yes
1 -3 years	4	Yes
1 -3 years	4	Yes
1 -3 years	3	Yes
1 -3 years	4	Yes
3-6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	5	Yes
3-6 years	4	Yes
More than 6 years	4	Yes
3 months - 1 year	4	Not sure
1 -3 years	5	Yes
1 -3 years	3	Not sure
3 months - 1 year	4	Yes
1 -3 years	5	Yes
1 -3 years	4	Yes
1 -3 years	4	Yes
1 -3 years	3	Yes
1 -3 years	4	Yes
3-6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	5	Yes
3-6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	5	Yes
3-6 years	4	Yes
1 -3 years	5	Yes
1 -3 years	4	Yes
1 -3 years	4	Yes
3-6 years	4	Yes
More than 6 years	4	Yes
More than 6 years	4	Yes
