"EAI can even  incorporate  ERP,  thus  serving  to  connect ERP systems."	"With EAI, the business will complete the overall processes that ERP can cover"	The time for creating a new ERP module is bigger than integrated with an existing application for those processes	EAI offer the flexibility the ERP needs.	Experience	Experience2
4	4	5	4	1	1 month to 1 year
5	5	5	5	2	1 to 3 years
4	3	3	5	2	1 to 3 years
3	4	5	3	1	1 month to 1 year
5	5	5	5	2	1 to 3 years
4	4	5	5	2	1 to 3 years
3	3	4	3	2	1 to 3 years
3	4	4	4	2	1 to 3 years
4	3	2	3	2	1 to 3 years
3	3	4	3	3	3-6 years
4	4	4	4	4	More than 6 years
4	3	4	4	4	More than 6 years
3	4	3	4	4	More than 6 years
3	5	5	4	3	3-6 years
4	3	4	3	4	More than 6 years
4	4	5	4	1	1 month to 1 year
5	5	5	5	2	1 to 3 years
4	3	3	5	2	1 to 3 years
3	4	5	3	1	1 month to 1 year
5	5	5	5	2	1 to 3 years
4	4	5	5	2	1 to 3 years
3	3	4	3	2	1 to 3 years
3	4	4	4	2	1 to 3 years
4	3	2	3	2	1 to 3 years
3	3	4	3	3	3-6 years
4	4	4	4	4	More than 6 years
4	3	4	4	4	More than 6 years
3	4	3	4	4	More than 6 years
3	5	5	4	3	3-6 years
4	3	4	3	4	More than 6 years
4	4	5	4	1	1 month to 1 year
5	5	5	5	2	1 to 3 years
4	3	3	5	2	1 to 3 years
3	4	5	3	1	1 month to 1 year
5	5	5	5	2	1 to 3 years
4	4	5	5	2	1 to 3 years
3	3	4	3	2	1 to 3 years
3	4	4	4	2	1 to 3 years
4	3	2	3	2	1 to 3 years
3	3	4	3	3	3-6 years
4	4	4	4	4	More than 6 years
4	3	4	4	4	More than 6 years
3	4	3	4	4	More than 6 years
3	5	5	4	3	3-6 years
4	3	4	3	4	More than 6 years
4	3	2	3	2	1 to 3 years
3	3	4	3	3	3-6 years
4	4	4	4	4	More than 6 years
4	3	4	3	4	More than 6 years
4	3	2	3	2	1 to 3 years
					1 month to 1 year
					1 to 3 years
					1 to 3 years
					1 month to 1 year
					1 to 3 years
					1 to 3 years
					1 to 3 years
					1 to 3 years
					1 to 3 years
					3-6 years
					More than 6 years
					More than 6 years
					More than 6 years
					3-6 years
					More than 6 years
					1 month to 1 year
					1 to 3 years
					1 to 3 years
					1 month to 1 year
					1 to 3 years
					1 to 3 years
					1 to 3 years
					1 to 3 years
					1 to 3 years
					3-6 years
					More than 6 years
					More than 6 years
					More than 6 years
					3-6 years
					More than 6 years
					1 month to 1 year
					1 to 3 years
					1 to 3 years
					1 month to 1 year
					1 to 3 years
					1 to 3 years
					1 to 3 years
					1 to 3 years
					1 to 3 years
					3-6 years
					More than 6 years
					More than 6 years
					More than 6 years
					3-6 years
					More than 6 years
					1 to 3 years
					3-6 years
					More than 6 years
					More than 6 years
					1 to 3 years
