Experience	Familiarity with EAI	Improvement in management and sharing of data	Automation of the workflow	Flexibility in IT infrastructure	Creating new opportunities	Increasing efficiency	EAI benefits sum	EAI & ERP
1	4	4	5	4	4	5	22	17
2	5	5	5	5	5	5	25	20
2	3	4	3	5	5	4	21	15
1	3	5	5	5	5	5	25	15
2	5	5	5	5	5	5	25	20
2	4	5	5	5	5	5	25	18
2	3	4	5	5	3	4	21	13
2	3	4	3	4	4	4	19	15
2	4	4	4	3	5	5	21	12
3	4	5	4	4	4	5	22	13
4	4	4	5	4	4	4	21	16
4	4	4	4	4	3	4	19	15
4	3	4	4	3	4	4	19	14
3	4	5	5	5	3	5	23	17
4	4	4	4	4	4	4	20	14
1	4	4	5	4	4	5	22	17
2	5	5	5	5	5	5	25	20
2	3	4	3	5	5	4	21	15
1	3	5	5	5	5	5	25	15
2	5	5	5	5	5	5	25	20
2	4	5	5	5	5	5	25	18
2	3	4	5	5	3	4	21	13
2	3	4	3	4	4	4	19	15
2	4	4	4	3	5	5	21	12
3	4	5	4	4	4	5	22	13
4	4	4	5	4	4	4	21	16
4	4	4	4	4	3	4	19	15
4	3	4	4	3	4	4	19	14
3	4	5	5	5	3	5	23	17
4	4	4	4	4	4	4	20	14
1	4	4	5	4	4	5	22	17
2	5	5	5	5	5	5	25	20
2	3	4	3	5	5	4	21	15
1	3	5	5	5	5	5	25	15
2	5	5	5	5	5	5	25	20
2	4	5	5	5	5	5	25	18
2	3	4	5	5	3	4	21	13
2	3	4	3	4	4	4	19	15
2	4	4	4	3	5	5	21	12
3	4	5	4	4	4	5	22	13
4	4	4	5	4	4	4	21	16
4	4	4	4	4	3	4	19	15
4	3	4	4	3	4	4	19	14
3	4	5	5	5	3	5	23	17
4	4	4	4	4	4	4	20	14
2	4	4	4	3	5	5	21	12
3	4	5	4	4	4	5	22	13
4	4	4	5	4	4	4	21	16
4	4	4	4	4	4	4	20	14
2	4	4	4	3	5	5	21	12
