Experience	Familiarity with EAI	Improvement in management and sharing of data	Automation of the workflow	Flexibility in IT infrastructure	Creating new opportunities	Increasing efficiency	
1	4	4	5	4	4	5	22
2	5	5	5	5	5	5	25
2	3	4	3	5	5	4	21
1	3	5	5	5	5	5	25
2	5	5	5	5	5	5	25
2	4	5	5	5	5	5	25
2	3	4	5	5	3	4	21
2	3	4	3	4	4	4	19
2	4	4	4	3	5	5	21
3	4	5	4	4	4	5	22
4	4	4	5	4	4	4	21
4	4	4	4	4	3	4	19
4	3	4	4	3	4	4	19
3	4	5	5	5	3	5	23
4	4	4	4	4	4	4	20
1	4	4	5	4	4	5	22
2	5	5	5	5	5	5	25
2	3	4	3	5	5	4	21
1	3	5	5	5	5	5	25
2	5	5	5	5	5	5	25
2	4	5	5	5	5	5	25
2	3	4	5	5	3	4	21
2	3	4	3	4	4	4	19
2	4	4	4	3	5	5	21
3	4	5	4	4	4	5	22
4	4	4	5	4	4	4	21
4	4	4	4	4	3	4	19
4	3	4	4	3	4	4	19
3	4	5	5	5	3	5	23
4	4	4	4	4	4	4	20
1	4	4	5	4	4	5	22
2	5	5	5	5	5	5	25
2	3	4	3	5	5	4	21
1	3	5	5	5	5	5	25
2	5	5	5	5	5	5	25
2	4	5	5	5	5	5	25
2	3	4	5	5	3	4	21
2	3	4	3	4	4	4	19
2	4	4	4	3	5	5	21
3	4	5	4	4	4	5	22
4	4	4	5	4	4	4	21
4	4	4	4	4	3	4	19
4	3	4	4	3	4	4	19
3	4	5	5	5	3	5	23
4	4	4	4	4	4	4	20
2	4	4	4	3	5	5	21
3	4	5	4	4	4	5	22
4	4	4	5	4	4	4	21
4	4	4	4	4	4	4	20
2	4	4	4	3	5	5	21
