Experience	Familiarity with EAI	Improvement in management and sharing of data	Automation of the workflow	Flexibility in IT infrastructure	Creating new opportunities	Increasing efficiency
1	4	4	5	4	4	5
2	5	5	5	5	5	5
2	3	4	3	5	5	4
1	3	5	5	5	5	5
2	5	5	5	5	5	5
2	4	5	5	5	5	5
2	3	4	5	5	3	4
2	3	4	3	4	4	4
2	4	4	4	3	5	5
3	4	5	4	4	4	5
4	4	4	5	4	4	4
4	4	4	4	4	3	4
4	3	4	4	3	4	4
3	4	5	5	5	3	5
4	4	4	4	4	4	4
1	4	4	5	4	4	5
2	5	5	5	5	5	5
2	3	4	3	5	5	4
1	3	5	5	5	5	5
2	5	5	5	5	5	5
2	4	5	5	5	5	5
2	3	4	5	5	3	4
2	3	4	3	4	4	4
2	4	4	4	3	5	5
3	4	5	4	4	4	5
4	4	4	5	4	4	4
4	4	4	4	4	3	4
4	3	4	4	3	4	4
3	4	5	5	5	3	5
4	4	4	4	4	4	4
1	4	4	5	4	4	5
2	5	5	5	5	5	5
2	3	4	3	5	5	4
1	3	5	5	5	5	5
2	5	5	5	5	5	5
2	4	5	5	5	5	5
2	3	4	5	5	3	4
2	3	4	3	4	4	4
2	4	4	4	3	5	5
3	4	5	4	4	4	5
4	4	4	5	4	4	4
4	4	4	4	4	3	4
4	3	4	4	3	4	4
3	4	5	5	5	3	5
4	4	4	4	4	4	4
2	4	4	4	3	5	5
3	4	5	4	4	4	5
4	4	4	5	4	4	4
4	4	4	4	4	4	4
2	4	4	4	3	5	5
