Experience	Familiarity with EAI	Improvement in management and sharing of data	Automation of the workflow	Flexibility in IT infrastructure	Creating new opportunities	Increasing efficiency	Experience		Familiarity EAI
1	4	4	5	4	4	5	1 month to 1 year		Familar
2	5	5	5	5	5	5	1 to 3 years		Very familiar
2	3	4	3	5	5	4	1 to 3 years		Moderately familiar
1	3	5	5	5	5	5	1 month to 1 year		Moderately familiar
2	5	5	5	5	5	5	1 to 3 years		Very familiar
2	4	5	5	5	5	5	1 to 3 years		Familar
2	3	4	5	5	3	4	1 to 3 years		Moderately familiar
2	3	4	3	4	4	4	1 to 3 years		Moderately familiar
2	4	4	4	3	5	5	1 to 3 years		Familar
3	4	5	4	4	4	5	3-6 years		Familar
4	4	4	5	4	4	4	More than 6 years		Familar
4	4	4	4	4	3	4	More than 6 years		Familar
4	3	4	4	3	4	4	More than 6 years		Moderately familiar
3	4	5	5	5	3	5	3-6 years		Familar
4	4	4	4	4	4	4	More than 6 years		Familar
1	4	4	5	4	4	5	1 month to 1 year		Familar
2	5	5	5	5	5	5	1 to 3 years		Very familiar
2	3	4	3	5	5	4	1 to 3 years		Moderately familiar
1	3	5	5	5	5	5	1 month to 1 year		Moderately familiar
2	5	5	5	5	5	5	1 to 3 years		Very familiar
2	4	5	5	5	5	5	1 to 3 years		Familar
2	3	4	5	5	3	4	1 to 3 years		Moderately familiar
2	3	4	3	4	4	4	1 to 3 years		Moderately familiar
2	4	4	4	3	5	5	1 to 3 years		Familar
3	4	5	4	4	4	5	3-6 years		Familar
4	4	4	5	4	4	4	More than 6 years		Familar
4	4	4	4	4	3	4	More than 6 years		Familar
4	3	4	4	3	4	4	More than 6 years		Moderately familiar
3	4	5	5	5	3	5	3-6 years		Familar
4	4	4	4	4	4	4	More than 6 years		Familar
1	4	4	5	4	4	5	1 month to 1 year		Familar
2	5	5	5	5	5	5	1 to 3 years		Very familiar
2	3	4	3	5	5	4	1 to 3 years		Moderately familiar
1	3	5	5	5	5	5	1 month to 1 year		Moderately familiar
2	5	5	5	5	5	5	1 to 3 years		Very familiar
2	4	5	5	5	5	5	1 to 3 years		Familar
2	3	4	5	5	3	4	1 to 3 years		Moderately familiar
2	3	4	3	4	4	4	1 to 3 years		Moderately familiar
2	4	4	4	3	5	5	1 to 3 years		Familar
3	4	5	4	4	4	5	3-6 years		Familar
4	4	4	5	4	4	4	More than 6 years		Familar
4	4	4	4	4	3	4	More than 6 years		Familar
4	3	4	4	3	4	4	More than 6 years		Moderately familiar
3	4	5	5	5	3	5	3-6 years		Familar
4	4	4	4	4	4	4	More than 6 years		Familar
2	4	4	4	3	5	5	1 to 3 years		Familar
3	4	5	4	4	4	5	3-6 years		Familar
4	4	4	5	4	4	4	More than 6 years		Familar
4	4	4	4	4	4	4	More than 6 years		Familar
2	4	4	4	3	5	5	1 to 3 years		Familar
							1 month to 1 year		
							1 to 3 years		
							1 to 3 years		
							1 month to 1 year		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							3-6 years		
							More than 6 years		
							More than 6 years		
							More than 6 years		
							3-6 years		
							More than 6 years		
							1 month to 1 year		
							1 to 3 years		
							1 to 3 years		
							1 month to 1 year		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							3-6 years		
							More than 6 years		
							More than 6 years		
							More than 6 years		
							3-6 years		
							More than 6 years		
							1 month to 1 year		
							1 to 3 years		
							1 to 3 years		
							1 month to 1 year		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							1 to 3 years		
							3-6 years		
							More than 6 years		
							More than 6 years		
							More than 6 years		
							3-6 years		
							More than 6 years		
							1 to 3 years		
							3-6 years		
							More than 6 years		
							More than 6 years		
							1 to 3 years		
