EAI & ERP	Satisfaction 	Experience
17	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
15	A little satisfied	1 -3 years
15	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
18	Satisfied	1 -3 years
13	Satisfied	1 -3 years
15	A little satisfied	1 -3 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
15	Satisfied	More than 6 years
14	Very satisfied	More than 6 years
17	Satisfied	3-6 years
14	Satisfied	More than 6 years
17	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
15	A little satisfied	1 -3 years
15	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
18	Satisfied	1 -3 years
13	Satisfied	1 -3 years
15	A little satisfied	1 -3 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
15	Satisfied	More than 6 years
14	Very satisfied	More than 6 years
17	Satisfied	3-6 years
14	Satisfied	More than 6 years
17	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
15	A little satisfied	1 -3 years
15	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
18	Satisfied	1 -3 years
13	Satisfied	1 -3 years
15	A little satisfied	1 -3 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
15	Satisfied	More than 6 years
14	Very satisfied	More than 6 years
17	Satisfied	3-6 years
14	Satisfied	More than 6 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
14	Satisfied	More than 6 years
12	Satisfied	1 -3 years
17	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
15	A little satisfied	1 -3 years
15	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
18	Satisfied	1 -3 years
13	Satisfied	1 -3 years
15	A little satisfied	1 -3 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
15	Satisfied	More than 6 years
14	Very satisfied	More than 6 years
17	Satisfied	3-6 years
14	Satisfied	More than 6 years
17	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
15	A little satisfied	1 -3 years
15	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
18	Satisfied	1 -3 years
13	Satisfied	1 -3 years
15	A little satisfied	1 -3 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
15	Satisfied	More than 6 years
14	Very satisfied	More than 6 years
17	Satisfied	3-6 years
14	Satisfied	More than 6 years
17	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
15	A little satisfied	1 -3 years
15	Satisfied	3 months - 1 year
20	Very satisfied	1 -3 years
18	Satisfied	1 -3 years
13	Satisfied	1 -3 years
15	A little satisfied	1 -3 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
15	Satisfied	More than 6 years
14	Very satisfied	More than 6 years
17	Satisfied	3-6 years
14	Satisfied	More than 6 years
12	Satisfied	1 -3 years
13	Satisfied	3-6 years
16	Satisfied	More than 6 years
14	Satisfied	More than 6 years
12	Satisfied	1 -3 years
