Type of integration	Streamlined business processes	Productivity	Communication 	Data accuracy	Benefits
1	1	1	0	1	3
2	1	0	1	0	2
2	0	1	1	0	2
3	0	1	1	0	2
2	0	1	0	0	1
1	1	1	1	1	4
3	1	1	0	0	2
2	0	1	0	0	1
2	1	1	1	1	4
2	0	1	0	1	2
2	1	1	0	1	3
2	0	0	1	1	2
3	0	1	1	0	2
2	1	1	1	1	4
2	0	0	1	1	2
1	1	1	1	1	4
2	1	0	1	0	2
2	0	1	1	0	2
3	0	1	1	0	2
2	0	1	0	0	1
1	1	1	0	1	3
3	1	1	1	0	3
2	0	1	0	0	1
2	1	1	0	0	2
2	1	0	1	1	3
2	1	1	0	1	3
2	0	0	1	1	2
3	0	1	1	0	2
2	1	1	1	1	4
2	0	0	1	1	2
1	1	1	0	1	3
2	1	0	1	0	2
2	0	1	1	0	2
3	0	1	1	0	2
2	0	1	0	0	1
1	1	1	1	1	4
3	1	1	0	0	2
2	0	1	0	0	1
2	1	1	1	1	4
2	0	1	0	1	2
2	1	1	0	1	3
2	0	0	1	1	2
3	0	1	1	0	2
2	1	1	1	1	4
2	0	0	1	1	2
2	1	1	1	1	4
2	0	1	0	1	2
2	1	1	0	1	3
2	0	0	1	1	2
2	1	1	1	1	4
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
F					
22.90578641					
					
					
					
P-value					
6.06853E-09					
1.66417E-05					
