Satisfaction with AX integration	EAI & ERP	Experience	Disavantages points
4	17	1	2
5	20	2	1
3	15	2	2
4	15	1	2
5	20	2	2
4	18	2	2
4	13	2	1
3	15	2	1
4	12	2	2
4	13	3	1
4	16	4	2
4	15	4	1
5	14	4	1
4	17	3	0
4	14	4	2
4	17	1	2
5	20	2	1
3	15	2	4
4	15	1	1
5	20	2	2
4	18	2	2
4	13	2	1
3	15	2	1
4	12	2	2
4	13	3	1
4	16	4	2
4	15	4	1
5	14	4	1
4	17	3	0
4	14	4	2
4	17	1	2
5	20	2	1
3	15	2	4
4	15	1	1
5	20	2	3
4	18	2	2
4	13	2	1
3	15	2	1
4	12	2	2
4	13	3	1
4	16	4	2
4	15	4	2
5	14	4	1
4	17	3	1
4	14	4	2
4	12	2	2
4	13	3	1
4	16	4	2
4	14	4	2
4	12	2	2
